"created","text"
"17/04/2017","@Lisdiana_Fasoh Tes akan ditentukan oleh pihak Counter besok setelah saudara menyerahkan formulir dan berkas."
"17/04/2017","@gunadarma_ besok itu cuma nyerahin itu ke counter apa sekalian test?"
"17/04/2017","@Lisdiana_Fasoh Itu paling lambat tanggal 19. Dapat dikembalikan besok ke Counter."
"17/04/2017","@gunadarma_ udah dari hari sabtu min . iya dicounter dan disuruh nyerahin tgl 19"
"17/04/2017","@Lisdiana_Fasoh Beli formulirnya tadi di Counter?"
"16/04/2017","#tlrp sorry rl, ada yg ikut beasiswa gunadarma tahun lalu? mau tanya"" open dm kalo bisa hehe"
"16/04/2017","@gunadarma_ min mau tanya dong, kalo blm byr kuliah otomatis blm bisa mengambil krs dong. Nah itu dianggap cuti atau gmn ya? Mohon bls *pntg"
"16/04/2017","@gunadarma_min mau tanya dong, kalo blm byr kuliah otomatis blm bisa mengambil krs. Nah itu dianggap cuti atau gmn ya? Mohon bls *pntg"
"16/04/2017","@ajengsyafira Iya cuti."
"16/04/2017","@gunadarma_ Apa harus mengurus ke baak? Dan saya minta solusinya. Terima kasih, mohon dibalas"
